"name","post_modified","post_date","byline","alt_text","description","place_name"
"7820810JWA7160_0.jpg","07/27/2017","08/20/2014","Jeff Adkins","San Jose, CA","Good Samaritan Hospital in San Jose, CA.","San Jose"
"7460808IC0097_3.jpg","08/20/2014","08/20/2014","Ian Curcio","School of Business at Clayton State University",,"Jonesboro"
"7460808IC0031_3.jpg","08/20/2014","08/20/2014","Ian Curcio","Southern Regional Medical Center",,"Jonesboro"
"7820810JWA6780_0.jpg","08/20/2014","08/20/2014","Jeff Adkins","California Theatre","The California Theatre marquee is lit up for the First Friday Art Walk in the South of First Arts (SoFA) district in downtown San Jose, California.",
"7490808BM2133_1.jpg","07/30/2017","08/20/2014","Brian McCord",,,"Pulaski"
"7490808BM2951jb_1.jpg","07/30/2017","08/20/2014","Brian McCord",,,"Pulaski"
"7730511BM8719_0.jpg","08/20/2014","08/20/2014","Brian McCord","Vibrant Downtown","The Art Gallery at The 21c Museum Hotel, a 90-room boutique hotel, contemporary art museum, award-winning restaurant and cultural civic center nestled in the heart of Museum Row in historic downtown Louisville.",
"7330510BM0158_1.jpg","08/20/2014","08/20/2014","Brian McCord","Hot Brown from The Brown Hotel","The Hot Brown is a Louisville classic and originated from The Brown Hotel.",
"3190407GLE0164_0_3.jpg","08/20/2014","08/20/2014","Greg Emens","Cliff Stiltz at home in Mt. Sterling with his grandson, Jacob",,
"Franklin_TN_Main_Street_Festival.jpg","08/10/2016","08/10/2016","Staff","Franklin TN Downtown Main Street Festival","The annual, free festival is held the last weekend in April at the historic Public Square and Downtown District in Franklin, TN.","Franklin"
"6540507jso5686_0_2.jpg","08/20/2014","08/20/2014","Jeffrey S. Otto","Prince's Hot Chicken in Nashville, TN","Hot chicken from Prince's Hot Chicken has been a mainstay in the Nashville hot-chicken scene since the 1940s.",
"7120507WA2805_2.jpg","08/20/2014","08/20/2014","Wes Aldridge",,"Mission Mill Museum was once a wool manufacturer in the 1800s, but is now a historical museum in Salem, OR.","Salem"
"6870507AJB3901_0.jpg","08/20/2014","08/20/2014","Antony Boshier","San Angelo, TX's International Water Lily Collection","San Angelo, TX's International Water Lily Collection","San Angelo"
"68708ARCH0237_1.jpg","08/20/2014","08/20/2014","Staff Photo","San Angelo Stock Show & Rodeo in San Angelo, TX","San Angelo Stock Show & Rodeo in San Angelo, TX","San Angelo"
"7770411BM1601.jpg","08/20/2014","08/20/2014","Brian McCord","Outdoor dining at Mi Tierra in downtown San Antonio, Tx","Mi Tierra is one of San Antonio's oldest restaurants and is open 24 hours a day.","San Antonio"
"7751109THB0626_1.jpg","08/20/2014","08/20/2014","Todd Bennett","Cabarrus College of Health Sciences","Cabarrus College of Health Sciences at CMC-NorthEast in Concord, NC, offers associate degree programs in medical assistant, nursing, occupational therapy assistant, surgical technology and associate in science as well as Baccalaureate completion programs in health services management, medical imaging, and nursing. JCI photo by Todd Bennett","Kannapolis"
"1161106GLE0007_2.jpg","08/20/2014","08/20/2014","Greg Emens","Saucy Tomatoes","Roasted Tomato Sauce over orzo, Homemade Tomato Sauce over cheese vegetable tortellini, Checca over angel hair pasta","Kannapolis"
"6020510AB1468_2.jpg","07/21/2017","08/20/2014","Anthony Bosier","Festivals in Tupelo, MS","Tupelo, MS hosts many festivals including the GumTree Festivals, Tupelo Elvis Festival, Azalea Festival, and more.","Tupelo"
"6020510AB1440_1.jpg","07/21/2017","08/20/2014","Anthony Bosier","Music Scene in Tupelo, MS","Tupelo, MS's music scene features venues large and small along with a summer concert series and a symphony.","Tupelo"
"717008THB6963.jpg","08/20/2014","08/20/2014","Todd Bennett","Darlington Raceway Museum","The Spirit Award trophy at the National Motorsports Press Association Hall of Fame at Darlington Raceway Museum in Darlington","Florence"
"7291108THB0749_2.jpg","08/20/2014","08/20/2014","Todd Bennett","Perot Theatre","Perot Theatre in Texarkana.","Texarkana"
"6720209jkk8703_2.jpg","08/20/2014","08/20/2014",,"Welcome Center for Columbus","The first home of the South's most prolific playwright now serves as the Welcome Center for Columbus and Lowndes County.",
"6720208WA0068_6.jpg","08/20/2014","08/20/2014","Wes Aldridge","Lake Lowndes State Park","Lake Lowndes State Park offers a scenic retreat with a variety of amenities. Ducks greet visitors who approach the lakeside.",
"73709SUB4024.jpg","08/20/2014","08/20/2014","Submitted","Dairyfest in Marshfield, WI","Over 13,000 people turn out for this annual event, which also feature a downtown Dairyfest parade, complete with huge inflatables characters and floats in a celebration of the dairy industry.","Marshfield"
"6720405AB0777_3.jpg","08/20/2014","08/20/2014","Antony Boshier","Elm Lake Golf Course",,
"7160609BM8372_0.jpg","08/20/2014","08/20/2014","Brian McCord","The Art Museum of South Texas","Thee Art Museum of South Texas was designed by Philip Johnson. The museum now has new gallery spaces, an expanded Museum Store and a new café that overlooks Corpus Christi Bay and the ship channel.
 JCI PHOTO- Brian McCord","Corpus Christi"
"71609ARCH5010_2.jpg","08/20/2014","08/20/2014",,,"The Corpus Christi Hooks draw crowds to Whataburger Field to see the boys of summer round the bases.","Corpus Christi"
"71609SUB0120_0.jpg","08/20/2014","08/20/2014","Submitted","Music for Every Taste","Corpus Christi Symphony Orchestra","Corpus Christi"
"6020510AB1977_2.jpg","06/25/2017","08/20/2014","Antony Boshier","Guitar Sculpture in Tupelo, MS","Painted guitar sculptures can be seen throughout Tupelo, MS- it's a public art project showcasing local students' work.","Tupelo"
"6020510AB2231_2.jpg","07/21/2017","08/20/2014","Antony Boshier","Schools in Tupelo, MS Provide Laptops for Students","Students between grades 6-12 own their own laptops for school purposes in Tupelo, MS.","Tupelo"
"3450408IC0029_3.jpg","08/20/2014","08/20/2014","Ian Curcio",,"Visitors to the Imperial Centre for the Arts and Sciences browse works of art for sale in the Gallery Shop.""""","Rocky Mount"
"7350807IC0005.jpg","08/02/2017","08/20/2014","Ian Curcio","Nantucket Lofts in Kinston, NC","Kinston, NC has a diverse and affordable housing market from downtown lofts to single-family homes.","Kinston"
"7820810JWA2259 1_1.jpg","08/20/2014","08/20/2014","Jeff Adkins","Guadelupe River Trail","The Guadelupe River Trail runs through downtown San Jose, California.",
"7011109JWA6611 1_0.jpg","08/20/2014","08/20/2014","Jeff Adkins","Chattanooga Heart Institute","The Chattanooga Heart Institute is located next to Memorial Hospital in Chattanooga, Tennessee.","Chattanooga"
"7490808BM1470_1.jpg","08/20/2014","08/20/2014",,,,"Pulaski"
"7490808BM2860jb_1.jpg","07/30/2017","08/20/2014","Brian McCord",,,"Pulaski"
"7800410BM0897.jpg","08/20/2014","08/20/2014","Brian McCord","Quilts 'N More","Fabrics at Quilts 'N More in downtown Midlothian, Texas.","Midlothian"
"7800410BM0633_0.jpg","08/20/2014","08/20/2014","Brian McCord","Hawkins Spring Park","Kids practice soccer at Hawkins Spring Park in Midlothian, Texas.","Midlothian"
"3450307IC0035_3.jpg","08/20/2014","08/20/2014","Ian Curcio",,"Edgecombe Community College in Rocky Mount","Rocky Mount"
"6211107jwa9423_0.jpg","08/20/2014","08/20/2014","Jeff Adkins",,"A jogger gets some exercise at dusk as the sun sets at City Lake in Harlingen.","Harlingen"
"DSCN3663_1.JPG","08/20/2014","08/20/2014","Kim Newsom","Riley Hospital for Children in Indianapolis, IN","Riley Hospital for Children in Indianapolis, IN",
"6210409JWA0436_1.jpg","07/30/2017","08/20/2014","Jeff Adkins",,,"Harlingen"
